1900,31 Jan,"rat"
1901,19 Feb,"ox"
1902,08 Feb,"tiger"
1903,29 Jan,"rabbit"
1904,16 Feb,"dragon"
1905,04 Feb,"snake"
1906,25 Jan,"horse"
1907,13 Feb,"goat"
1908,02 Feb,"monkey"
1909,22 Jan,"rooster"
1910,10 Feb,"dog"
1911,30 Jan,"pig"
1912,18 Feb,"rat"
1913,06 Feb,"ox"
1914,26 Jan,"tiger"
1915,14 Feb,"rabbit"
1916,03 Feb,"dragon"
1917,23 Jan,"snake"
1918,11 Feb,"horse"
1919,01 Feb,"goat"
1920,20 Feb,"monkey"
1921,08 Feb,"rooster"
1922,28 Jan,"dog"
1923,16 Feb,"pig"
1924,05 Feb,"rat"
1925,24 Jan,"ox"
1926,13 Feb,"tiger"
1927,02 Feb,"rabbit"
1928,23 Jan,"dragon"
1929,10 Feb,"snake"
1930,30 Jan,"horse"
1931,17 Feb,"goat"
1932,06 Feb,"monkey"
1933,26 Jan,"rooster"
1934,14 Feb,"dog"
1935,04 Feb,"pig"
1936,24 Jan,"rat"
1937,11 Feb,"ox"
1938,31 Jan,"tiger"
1939,19 Feb,"rabbit"
1940,08 Feb,"dragon"
1941,27 Jan,"snake"
1942,15 Feb,"horse"
1943,05 Feb,"goat"
1944,25 Jan,"monkey"
1945,13 Feb,"rooster"
1946,02 Feb,"dog"
1947,22 Jan,"pig"
1948,10 Feb,"rat"
1949,29 Jan,"ox"
1950,17 Feb,"tiger"
1951,06 Feb,"rabbit"
1952,27 Jan,"dragon"
1953,14 Feb,"snake"
1954,03 Feb,"horse"
1955,24 Jan,"goat"
1956,12 Feb,"monkey"
1957,31 Jan,"rooster"
1958,18 Feb,"dog"
1959,08 Feb,"pig"
1960,28 Jan,"rat"
1961,15 Feb,"ox"
1962,05 Feb,"tiger"
1963,25 Jan,"rabbit"
1964,13 Feb,"dragon"
1965,02 Feb,"snake"
1966,21 Jan,"horse"
1967,09 Feb,"goat"
1968,30 Jan,"monkey"
1969,17 Feb,"rooster"
1970,06 Feb,"dog"
1971,27 Jan,"pig"
1972,15 Feb,"rat"
1973,03 Feb,"ox"
1974,23 Jan,"tiger"
1975,11 Feb,"rabbit"
1976,31 Jan,"dragon"
1977,18 Feb,"snake"
1978,07 Feb,"horse"
1979,28 Jan,"goat"
1980,16 Feb,"monkey"
1981,05 Feb,"rooster"
1982,25 Jan,"dog"
1983,13 Feb,"pig"
1984,02 Feb,"rat"
1985,20 Feb,"ox"
1986,09 Feb,"tiger"
1987,29 Jan,"rabbit"
1988,17 Feb,"dragon"
1989,06 Feb,"snake"
1990,27 Jan,"horse"
1991,15 Feb,"goat"
1992,04 Feb,"monkey"
1993,23 Jan,"rooster"
1994,10 Feb,"dog"
1995,31 Jan,"pig"
1996,19 Feb,"rat"
1997,07 Feb,"ox"
1998,27 Jan,"tiger"
1999,16 Feb,"rabbit"
2000,05 Feb,"dragon"
2001,24 Jan,"snake"
2002,12 Feb,"horse"
2003,01 Feb,"goat"
2004,22 Jan,"monkey"
2005,09 Feb,"rooster"
2006,29 Jan,"dog"
2007,18 Feb,"pig"
2008,07 Feb,"rat"
2009,26 Jan,"ox"
2010,10 Feb,"tiger"
2011,03 Feb,"rabbit"
2012,23 Jan,"dragon"
2013,10 Feb,"snake"
2014,31 Jan,"horse"
2015,19 Feb,"goat"
2016,09 Feb,"monkey"
2017,28 Jan,"rooster"
2018,16 Feb,"dog"
2019,05 Feb,"pig"
2020,25 Jan,"rat"
2021,12 Feb,"ox"
2022,01 Feb,"tiger"
2023,22 Jan,"rabbit"
2024,10 Feb,"dragon"
2025,29 Jan,"snake"
2026,17 Feb,"horse"
2027,06 Feb,"goat"
2028,26 Jan,"monkey"
2029,13 Feb,"rooster"
2030,03 Feb,"dog"
2031,23 Jan,"pig"
2032,11 Feb,"rat"
2033,31 Jan,"ox"
2034,19 Feb,"tiger"
2035,08 Feb,"rabbit"
2036,28 Jan,"dragon"
2037,15 Feb,"snake"
2038,04 Feb,"horse"
2039,24 Jan,"goat"
